Sep| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |113 |157 |187 |173 |192 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 80 | 98 | 19 |  2 |
  2|??? |??? |119 |196 |197 |162 |166 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 79 | 95 | 14 |  2 |
  3|??? |??? |112 |181 |176 |209 |180 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |104 | 99 | 13 |??? |
  4|??? |??? |121 |159 |161 |165 |240 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 64 | 90 |  9 |  4 |
  5|??? |??? |104 |138 |165 |166 |159 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 65 | 88 | 11 |  2 |
  8|??? |??? |116 |150 |240 |207 |181 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 66 | 94 | 16 |  2 |
  9|??? |??? |114 |179 |175 |202 |124 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 60 | 77 | 14 |  1 |
 10|??? |??? |100 |217 |156 |184 |159 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 71 | 98 | 19 |??? |
 12|??? |  2 |168 |219 |187 |167 |153 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 67 | 97 | 12 |??? |
 13|??? |  2 | 90 |180 |181 |203 |181 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 81 | 91 | 14 |??? |
 14|??? |??? | 10 | 86 |189 |167 |157 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 83 | 85 | 15 |??? |
 15|??? |  1 |110 |184 |184 |153 |160 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 65 | 74 |  9 |??? |
 17|??? |??? |112 |172 |193 |135 |105 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 75 |112 | 14 |??? |
 18|??? |  6 |109 |169 |136 |322 |146 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 56 | 81 | 10 |??? |
 19|??? |  3 | 98 |161 |142 |136 |137 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 71 | 57 |  8 |??? |
 20|??? |  3 | 72 |134 |119 | 37 | 58 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 62 | 79 |  6 |??? |
 22|??? |  3 | 94 |129 |135 |126 |112 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 61 | 76 | 80 | 31 |
 23|  2 |  7 | 83 |165 |145 |172 |137 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 79 | 92 | 14 |??? |
 24|??? |  1 |113 |183 |189 |177 |172 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 71 | 96 | 75 |??? |
 25|??? |  1 | 96 |167 |168 |209 |200 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 69 |100 | 10 |??? |
 26|??? |  3 |134 |188 |209 |169 |116 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 54 | 80 | 14 |??? |
 27|??? |  1 |128 |172 | 74 | 55 | 49 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 79 | 97 | 18 |??? |
 28|??? |  1 | 10 |114 |223 |213 |184 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |104 |105 | 24 |??? |
 29|??? |  1 |127 |216 |203 |163 |158 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 69 |124 | 10 |??? |
 30|??? |  1 |138 |191 |213 |195 |196 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 82 | 97 |  5 |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

