Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 13 | 26 | 22 | 14 |  7 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |
  3| 13 | 14 |??? |??? |??? | 28 | 52 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 69 | 48 |
  4| 41 | 55 | 58 | 73 | 13 | 12 |  7 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 14 |
  5|??? |??? |??? | 53 | 39 | 56 | 35 |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |
  6|??? |??? | 14 | 53 | 39 | 56 | 35 |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  5 |
  7|  1 | 13 | 34 | 33 | 47 | 61 | 51 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |  8 | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 26 | 12 |
 16|  6 | 21 | 46 | 59 | 64 | 62 | 51 | 84 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 25 | 14 |
 17| 17 |  1 | 33 | 53 | 48 | 45 | 45 | 65 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 17 | 11 |
 18|  5 | 15 | 20 | 65 | 62 | 61 | 53 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 12 | 10 |
 19|  7 | 17 | 16 | 36 | 63 | 47 | 53 | 70 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 |  8 | 13 |
 21| 11 | 11 | 22 | 52 | 55 | 45 | 56 | 45 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 |??? |??? |
 22|??? |??? | 10 | 54 | 68 | 45 | 47 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |
 23|  1 |  4 | 10 | 22 | 27 | 27 | 43 | 13 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  7 | 12 |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 31 | 16 |
 26| 19 | 12 | 23 | 28 | 58 | 28 | 37 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |
 27|  7 |  2 |  3 | 15 | 31 | 42 | 51 | 55 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 39 | 45 |
 29| 68 | 97 | 36 | 47 | 71 | 70 | 71 | 57 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 23 | 28 |
 30| 65 | 91 |105 | 71 |  1 |  1 |  1 | 23 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 48 | 54 | 54 |
 31| 49 | 12 | 70 | 67 | 83 | 85 | 72 | 53 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 49 | 56 | 18 |

