Oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |  2 |153 |220 |176 |233 |210 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 68 | 84 |  8 |??? |
  2|??? |  3 |132 |184 |201 |273 |170 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 90 | 87 | 18 |??? |
  3|??? |  4 |139 |195 |190 |190 |175 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 85 | 87 | 14 |??? |
  4|??? | 31 |178 |205 |243 |285 |211 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 88 |102 | 14 |??? |
  5|??? |  2 | 15 |119 |235 |303 |238 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 53 |120 | 22 |??? |
  6|??? |  1 |200 |224 |264 |242 |203 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 69 |106 | 15 |??? |
  7|??? |  1 |142 |180 |157 |200 |189 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 90 |114 |121 | 59 |
  8|??? |  1 |189 |234 |205 |215 |206 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 88 |108 | 18 |??? |
 10|??? |  3 |132 |188 |207 |232 |178 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 49 | 69 |  5 |??? |
 11|??? |  1 |146 |171 |180 |213 |136 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 93 | 94 | 13 |??? |
 12|??? |  2 | 11 | 90 |183 |182 |153 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 62 |108 |  8 |??? |
 13|??? |  3 |201 |235 |207 |235 |180 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 70 | 92 |  8 |??? |
 14|??? |  1 |179 |215 |182 |212 |163 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 80 | 91 |??? |
 15|??? |  4 |168 |202 |264 |224 |220 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 87 |120 | 10 |??? |
 16|??? |  1 |168 |227 |213 |226 |182 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 88 |116 |  7 |??? |
 18|??? | 13 |169 |271 |211 |177 |106 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 73 | 64 |  7 |??? |
 19|??? | 18 | 11 |137 |193 |139 |128 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 77 | 82 |  6 |??? |
 20|??? |  6 |170 |200 |228 |197 |162 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 41 | 71 | 78 |110 |
 21|123 |147 |220 |245 |163 |181 |174 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 47 | 68 |  7 |??? |
 23|??? |  3 |143 |187 |192 |292 |164 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 83 |  5 |??? |
 24|??? |  3 |161 |222 |165 |204 |223 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 61 | 89 |  9 |??? |
 25|??? |  1 |167 |185 |206 |250 |127 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 77 | 84 |  2 |
 26|??? |  1 | 24 |117 |182 |130 | 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 84 |150 | 19 |??? |
 27|??? |  1 |119 |172 |162 |193 |133 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 85 | 93 | 19 |??? |
 28|??? |  1 |115 |167 |217 |146 |266 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 83 |103 | 38 |??? |
 29|??? |  1 |123 |163 |184 |117 | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

